,cnt_age,cnt_home,duration,hh_id,part_age,hh_size,ID
0,42.0,1,4.0,Mo08HH1,8.0,3,1
1,9.0,0,5.0,Mo08HH1,8.0,3,1
2,42.0,0,4.0,Mo08HH1,8.0,3,1
3,8.0,0,5.0,Mo08HH1,8.0,3,1
4,29.0,0,3.0,Mo08HH1,8.0,3,1
5,8.0,0,5.0,Mo08HH1,8.0,3,1
6,12.0,0,2.0,Mo08HH1,8.0,3,1
7,8.0,0,5.0,Mo08HH1,8.0,3,1
8,55.0,1,4.0,Mo08HH1,8.0,3,1
9,8.0,0,4.0,Mo08HH1,8.0,3,1
10,12.0,0,3.0,Mo08HH1,8.0,3,1
11,8.0,0,5.0,Mo08HH1,8.0,3,1
12,8.0,0,4.0,Mo08HH1,8.0,3,1
13,42.0,0,2.0,Mo08HH1,8.0,3,1
14,52.0,0,4.0,Mo08HH1,8.0,3,1
15,8.0,0,4.0,Mo08HH1,8.0,3,1
16,8.0,0,5.0,Mo08HH1,8.0,3,1
17,4.0,0,4.0,Mo08HH1,8.0,3,1
18,42.0,0,4.0,Mo08HH1,8.0,3,1
19,8.0,0,5.0,Mo08HH1,8.0,3,1
20,66.0,0,5.0,Mo08HH2,6.0,3,2
21,69.0,0,5.0,Mo08HH2,6.0,3,2
22,41.0,1,5.0,Mo08HH2,6.0,3,2
23,43.0,1,5.0,Mo08HH2,6.0,3,2
24,35.0,1,3.0,Mo08HH3,0.0,3,3
25,53.0,1,5.0,Mo08HH3,0.0,3,3
26,50.0,1,5.0,Mo08HH3,0.0,3,3
27,55.0,1,3.0,Mo08HH3,0.0,3,3
28,35.0,1,3.0,Mo08HH3,0.0,3,3
29,55.0,1,5.0,Mo08HH3,0.0,3,3
30,35.0,1,3.0,Mo08HH3,0.0,3,3
31,45.0,0,3.0,Mo08HH3,0.0,3,3
32,35.0,1,3.0,Mo08HH3,0.0,3,3
33,52.0,1,4.0,Mo08HH3,0.0,3,3
34,28.0,1,3.0,Mo08HH3,0.0,3,3
35,55.0,1,5.0,Mo08HH3,0.0,3,3
36,55.0,1,3.0,Mo08HH3,0.0,3,3
37,45.0,0,3.0,Mo08HH3,0.0,3,3
38,25.0,0,3.0,Mo08HH3,0.0,3,3
39,3.0,1,4.0,Mo08HH4,1.0,3,4
40,40.0,1,4.0,Mo08HH4,1.0,3,4
41,60.0,1,4.0,Mo08HH4,1.0,3,4
42,65.0,1,4.0,Mo08HH4,1.0,3,4
43,35.0,1,3.0,Mo08HH4,1.0,3,4
44,38.0,1,5.0,Mo08HH4,1.0,3,4
