Time,Life expectancy at birth,Total fertility rate,ChildProb,VC,MarriageAge
1968,55.486,4.96274,[0.0004 0.0048 0.0311 0.1129 0.2154 0.2842 0.225  0.1262],,22.0
1969,55.8286,4.867361,[0.001  0.007  0.0347 0.112  0.2253 0.2911 0.2182 0.1107],,22.11764705882353
1970,56.112,4.827882,[0.0005 0.007  0.0421 0.1223 0.2267 0.2833 0.2103 0.1078],,22.235294117647058
1971,55.8924,4.681745,[0.0014 0.009  0.0457 0.1354 0.2451 0.274  0.1976 0.0918],,22.352941176470587
1972,57.1231,4.546842,[0.0012 0.0125 0.0584 0.1509 0.2579 0.2666 0.1778 0.0747],,22.470588235294116
1973,57.6327,4.420555,[0.0019 0.0172 0.0681 0.1697 0.261  0.2535 0.1641 0.0645],,22.58823529411765
1974,58.0422,4.264785,[0.0018 0.0184 0.0833 0.1902 0.26   0.2515 0.1436 0.0512],,22.705882352941178
1975,58.2754,4.083541,[0.0028 0.0274 0.0983 0.2147 0.2664 0.2237 0.1248 0.0419],,22.823529411764707
1976,58.7107,3.97744,[0.004  0.0318 0.117  0.2173 0.2704 0.2173 0.106  0.0362],,22.941176470588236
1977,59.3652,3.852282,[0.0039 0.0394 0.129  0.2343 0.2732 0.2015 0.0901 0.0286],,23.058823529411764
1978,59.7402,3.790434,[0.0063 0.0424 0.1326 0.246  0.2683 0.1917 0.087  0.0257],,23.176470588235293
1979,60.2037,3.776306,[0.0056 0.0444 0.1339 0.2404 0.2699 0.1962 0.087  0.0226],,23.294117647058822
1980,60.5524,3.74975,[0.0046 0.0439 0.1377 0.2454 0.2764 0.186  0.0862 0.0198],12.8,23.41176470588235
1981,60.9915,3.715702,[0.0065 0.0486 0.1393 0.2407 0.2775 0.1849 0.0819 0.0206],14.4,23.529411764705884
1982,61.4165,3.71291,[0.0059 0.0453 0.1506 0.2357 0.2714 0.1836 0.0849 0.0226],15.200000000000001,23.647058823529413
1983,61.5651,3.577799,[0.0075 0.0581 0.1623 0.2588 0.2629 0.1677 0.0653 0.0174],28.8,23.764705882352942
1984,61.907,3.551627,[0.0089 0.0603 0.1611 0.2576 0.2591 0.1711 0.0655 0.0164],32.0,23.88235294117647
1985,62.2356,3.515103,[0.0095 0.0631 0.1693 0.2544 0.2609 0.1663 0.0607 0.0158],36.800000000000004,24.0
1986,62.7665,3.504961,[0.0112 0.0635 0.1637 0.2686 0.2572 0.1606 0.062  0.0132],36.800000000000004,24.11764705882353
1987,63.1585,3.480232,[0.0101 0.0609 0.1717 0.264  0.2677 0.1525 0.0564 0.0167],42.400000000000006,24.235294117647058
1988,63.2806,3.390613,[0.011  0.0708 0.1854 0.2687 0.2475 0.15   0.0548 0.0118],49.6,24.352941176470587
1989,63.7919,3.345624,[0.0141 0.0766 0.1884 0.2653 0.2469 0.1449 0.052  0.0118],54.400000000000006,24.470588235294116
1990,63.9879,3.307799,[0.0138 0.0768 0.1946 0.2826 0.2403 0.1362 0.0468 0.0089],58.400000000000006,24.58823529411765
1991,64.0583,3.127217,[0.0207 0.1    0.2125 0.28   0.2224 0.1185 0.0392 0.0067],54.400000000000006,24.705882352941178
1992,64.3027,3.041084,[0.0193 0.1058 0.2348 0.2874 0.2064 0.106  0.0338 0.0065],54.400000000000006,24.823529411764707
1993,64.4369,2.975779,[0.0242 0.1123 0.241  0.2785 0.2097 0.1006 0.0292 0.0045],55.2,24.941176470588236
1994,64.4588,2.92623,[0.0259 0.1237 0.247  0.2718 0.2062 0.0948 0.0262 0.0044],56.800000000000004,25.058823529411764
1995,64.8766,2.877871,[0.0292 0.1229 0.2525 0.2804 0.1967 0.091  0.0242 0.0031],58.400000000000006,25.176470588235293
1996,65.1429,2.832978,[0.0317 0.1319 0.2583 0.2854 0.1849 0.0826 0.0211 0.0041],58.400000000000006,25.294117647058822
1997,65.5007,2.793813,[0.0356 0.1323 0.2627 0.2804 0.1845 0.082  0.0192 0.0033],56.800000000000004,25.41176470588235
1998,65.7215,2.757784,[0.0338 0.1504 0.2628 0.2774 0.1775 0.0758 0.0187 0.0036],56.0,25.529411764705884
1999,66.0735,2.730212,[0.0376 0.1535 0.2583 0.2741 0.1806 0.0736 0.0197 0.0026],56.800000000000004,25.647058823529413
2000,66.4525,2.734497,[0.035  0.146  0.2664 0.2809 0.1772 0.0707 0.0217 0.0021],60.15,25.764705882352942
2001,66.8336,2.700158,[0.0371 0.1461 0.2696 0.2826 0.1728 0.07   0.0186 0.0032],60.6,25.88235294117647
2002,67.1373,2.67225,[0.0399 0.1578 0.2666 0.2702 0.1759 0.0694 0.017  0.0032],60.6,26.0
2003,67.46,2.647133,[0.0417 0.1598 0.2778 0.2704 0.1655 0.0654 0.0164 0.003 ],61.55,26.11764705882353
2004,67.8074,2.636294,[0.0411 0.1608 0.2734 0.2662 0.1705 0.0686 0.0168 0.0026],63.300000000000004,26.235294117647058
2005,68.2047,2.619231,[0.041  0.1622 0.2802 0.2698 0.1657 0.0621 0.0169 0.0021],66.55,26.352941176470587
2006,68.7027,2.611505,[0.048  0.1688 0.2848 0.2553 0.1657 0.0627 0.0131 0.0016],68.45,26.470588235294116
2007,69.0508,2.612322,[0.0413 0.1678 0.2735 0.2723 0.1609 0.064  0.017  0.0032],68.45,26.588235294117645
2008,69.3014,2.613082,[0.0391 0.1674 0.2764 0.2767 0.1618 0.06   0.016  0.0026],70.5,26.705882352941178
2009,69.7965,2.605034,[0.0431 0.1648 0.2863 0.2581 0.1657 0.0636 0.0163 0.0021],72.4,26.823529411764707
2010,70.1088,2.586875,[0.0433 0.1675 0.2704 0.2714 0.1668 0.0627 0.0156 0.0023],73.5,26.941176470588236
2011,70.5303,2.572949,[0.0425 0.1661 0.2876 0.2695 0.1555 0.0617 0.015  0.0021],74.39999999999999,27.058823529411764
2012,70.8725,2.590373,[0.0433 0.16   0.2828 0.2719 0.1624 0.0639 0.014  0.0017],74.85,27.176470588235293
2013,71.2072,2.560442,[0.0494 0.174  0.2827 0.263  0.1613 0.0551 0.0124 0.0021],75.6,27.294117647058822
2014,71.5649,2.552875,[0.0488 0.1683 0.2843 0.2627 0.1605 0.0598 0.0141 0.0015],76.05,27.411764705882355
2015,71.8004,2.524027,[0.0479 0.1794 0.2861 0.2637 0.1534 0.0569 0.0103 0.0023],77.44999999999999,27.529411764705884
2016,72.1102,2.525623,[0.0464 0.1804 0.2832 0.2635 0.1514 0.0613 0.0119 0.0019],78.05,27.647058823529413
2017,72.3267,2.504226,[0.0537 0.184  0.2888 0.2601 0.1469 0.0528 0.0115 0.0022],78.19999999999999,27.764705882352942
2018,72.5759,2.443279,[0.0518 0.1909 0.289  0.2634 0.1471 0.0463 0.0104 0.0011],79.3,27.88235294117647
2019,72.7897,2.406161,[0.0562 0.1981 0.2912 0.254  0.143  0.048  0.0087 0.0008],79.45,28.0
